"","C03-C","C03-R","C03-S","A33-C","A33-R","A33-S"
"SLC13A4",76.8276679733352,126.625281895247,130.801527573986,909.55318735103,868.259019950563,798.553054421778
"ZIC5",77.9917235486888,77.6635062290849,63.183788743366,540.583498142593,538.37337407269,739.439386756789
"LYPD5",244.451670824248,310.65402491634,353.607519458487,10.4875105459762,15.8345110021379,18.6674739994701
"SPINK5",15.1327224795963,21.9483821951762,37.6885757416569,526.28234739808,365.953143160521,557.950056206385
"KCNV1",1224.58646527195,1867.30082368191,1994.16905174238,165.893348636351,228.720714475326,243.714243881971
"PCDHB8",332.919894551119,306.433182186498,335.871719109472,21.9284311415867,32.5487170599502,39.4091117766592
"CLIC6",2.32811115070713,0,2.21697504362688,1102.14201737714,870.018410061912,955.152419639556
"MIR9-3HG",1041.82973994144,1067.02904210395,1092.96869650805,2730.56638215236,2669.87449397159,2949.46089191628
"COL4A6",1214.10996509377,1218.97938037825,1217.11929895116,3346.46927421605,3281.26255766525,2954.64630136058
"LRRTM3",956.85368294063,710.789915705321,823.606228707385,176.380859182328,167.142060578123,186.674739994701
"ZNF208",403.927284647687,495.526936483401,453.371396421696,0,3.51878022269732,2.0741637777189
"EPAS1",46.5622230141426,21.1042136492079,21.0612629144553,443.335673079904,378.268873939962,401.350690988608
"OSTN",572.715343073954,1566.77682131719,1192.73257347126,43.8568622831733,72.134994565295,42.5203574432375
"IRS4",53.546556466264,24.4808878330811,39.9055507852838,380.410609804047,431.050577280421,432.463147654392
"KLF2P4",10.4765001781821,9.28585400565146,7.75941265269407,208.79680086989,194.412607304027,204.305132105312
"TMTC1",676.316289280421,607.801353097186,710.540501482414,1841.98821589328,1901.02101531223,1805.55956850431
"SPRY2",2070.85486855399,1944.12016136503,2066.22074066025,781.796240700046,815.477316610103,835.888002420719
"LEF1",260.748448879198,297.147328180847,325.895331413151,1369.09683127472,1220.1370422203,1819.04163305948
"ARPP21",3270.99616674352,4377.01391084571,4449.46891255914,592.06764082284,942.153404627207,717.660667090741
"C1QL3",436.520840757587,539.423700873753,501.036359859674,11.4409205956104,6.15786538972031,33.1866204435025
"TACR3",16.2967780549499,9.28585400565146,11.0848752181344,286.976424939895,244.555225477464,184.600576216983
"CCBE1",338.740172427887,306.433182186498,342.522644240353,36.2295818860997,31.6690220042759,54.965340109551
"CCDC40",132.702335590306,161.236192279948,179.574978533777,657.8529342476,673.846412646536,823.443019754405
"COL4A5",1886.93408764813,1852.10578985448,1513.08546727534,4938.66405710517,5140.93790536078,4671.01682742297
"EMX2",511.020397580215,417.863430254316,513.229722599622,2000.25428413256,1503.39885014743,1958.01060616665
"MIR137HG",817.167013898202,1621.64777680513,1470.96294144643,179.24108933123,178.578096301889,187.711821883561
"GALNT10",473.770619168901,446.565160817238,432.310133507241,1187.94892184422,1142.72387732095,1233.09036585389
"CYP27A1",40.7419451373747,37.9875845685741,53.207401047045,395.665170598194,322.848085432479,280.012109992052
"PID1",2095.30003563642,1695.93460885034,1719.26414633264,225.958181763306,232.239494698023,411.721509877203
"NEK2P4",0,5.06501127580989,6.65092513088063,173.520629033425,257.750651312579,197.045558883296
"CRNDE",717.058234417795,611.17802728106,659.550075478996,2560.85939331747,1854.39717736149,2291.95097437939
"ABCA4",6.98433345212139,1.68833709193663,0,293.650295287334,284.141502982808,180.452248661545
"MFAP2",50.0543897402033,59.091798217782,55.4243760906719,326.066236974897,266.547601869322,328.754958768446
"RFTN1",1488.82708087721,1657.1028557358,1444.35924092291,300.324165634774,414.336371222609,462.538522431316
"NFIC",914.947682227901,799.427613031994,891.223967538005,2011.69520472817,2193.95946885178,2081.42335094092
"SPAG6",12.8046113288892,10.1300225516198,8.86790017450751,171.613808934157,212.006508417513,146.228546329183
"EFS",1537.71741504206,1405.54062903724,1496.45815444814,3816.50042868571,3495.90815124979,3250.21463968552
"SOX3",317.787172071523,193.314597026744,223.914479406315,1339.54111973605,1177.91167954793,1022.56274241542
"SVEP1",535.46556466264,446.565160817238,361.366932111181,16.2079708437814,34.3081071712989,52.8911763318321
"MEF2C",11243.6128023401,16999.8661787099,16513.1386124548,1177.46141129824,2726.17497753475,1338.87271851755
"ID3",40.7419451373747,16.8833709193663,16.6273128272016,266.001403847943,371.231313494567,303.86499343582
"EMX2OS",703.089567513553,706.569072975479,650.682175304488,2091.78164889744,1687.25511678336,2193.42819493774
"GRIN2A",620.44162166345,1128.65334595964,1088.5347464208,60.0648331269548,58.9395687301801,131.70939988515
"BCL6",1311.89063342347,1689.1812604826,1821.24499833948,225.004771713672,338.682596434617,390.979872100013
"POTEE",62.8590010690925,108.897742429913,99.7638769632095,681.688185488455,871.777800173261,488.465569652802
"CPNE6",258.420337728491,456.695183368858,569.762586212107,47.6705024817101,41.3456676166935,42.5203574432375
"STRA6",240.959504098188,299.679833818752,241.65027975533,1556.91861105265,993.175717856318,1072.34267308067
"EGR3",252.600059851723,339.355755479262,452.262908899883,26.6954813897577,8.7969505567433,29.0382928880647
"EOMES",1288.6095219164,986.83303023696,1079.66684624629,4235.04744047513,3249.59353566097,3340.4407640163
"MSX1",38.4138339866676,48.9617756661622,52.0989135252316,241.212742557453,261.269431535276,270.678372992317
"CNTN4",824.151347350323,805.336792853772,821.389253663758,0,0,0
"CHRM1",512.184453155568,614.554701464933,638.488812564541,176.380859182328,138.11212374087,161.784774662075
"SNX7",1049.97812896891,1328.72129135413,1368.9820894396,424.26747208722,404.659725610192,424.166492543516
"PEG13",1620.36536089216,2308.80097322334,2393.22455959521,529.142577546983,632.500745029843,577.654612094715
"AHNAK",991.775350201237,773.258388106976,740.469664571377,3055.67920907762,3375.3899286224,2429.8828655977
"PCDHB5",2118.58114714349,1934.83430735938,1814.5940732086,262.187763649406,518.14038779218,373.349479989403
"NT5DC3",1259.50813253256,1763.46809252781,1752.51877198705,312.718496280019,418.734846500981,442.833966542986
"PDE7B",159.475613823438,193.314597026744,186.225903664658,5.72046029780522,6.15786538972031,17.6303921106107
"DMRTA2",622.769732814157,509.033633218894,571.979561255734,2532.25709182844,1640.63127883262,2261.87559960247
"ROR2",16.2967780549499,11.8183596435564,8.86790017450751,225.004771713672,144.26998913059,306.976239102398
"NRP2",10991.0127424884,13718.5830405311,14374.8661828767,2160.4271724711,2212.43306502094,3773.94099355955
"DDN",816.002958322848,1076.3148961096,1133.98273481515,197.35588027428,234.878579865046,293.494174547225
"SIK1",182.75672533051,232.990518687255,258.277592582531,33.3693517371971,21.1126813361839,31.1124566657836
"ADCY1",11368.1667489029,13376.6947794139,14998.9446576576,2378.75807383734,3224.96207410209,4130.6971633272
"CEMIP",183.920780905863,159.547855188011,160.730690662949,589.207410673937,750.379882490203,542.393827873494
"NKAIN2",2045.24564589621,3226.4121826909,3049.44917250877,354.668538463923,606.989588415287,608.767068760498
"NF1P8",2.32811115070713,0.844168545968314,2.21697504362688,179.24108933123,260.389736479602,182.526412439264
"KCNJ13",4.65622230141426,8.44168545968314,6.65092513088063,118.222846154641,150.42785452031,218.824278549344
"MAPK8IP1P2",303.81850516728,455.006846276921,464.456271639831,39.0898120350023,61.5786538972031,73.6328141090211
"COL9A1",135.030446741013,109.741910975881,93.1129518323288,718.871177424189,441.606917948513,603.581659316201
"ZIC2",330.591783400412,368.057486042185,212.82960418818,1412.95369355789,1329.21922912391,2085.57167849636
"TRPV4",3.49216672606069,3.37667418387326,2.21697504362688,202.122930522451,190.89382708133,107.856516441383
"CRB2",460.966007840011,330.914070019579,328.112306456778,1550.24474070521,1153.28021798905,1582.58696239952
"FGFR3",2210.54153759642,1382.7480782961,1448.79319101016,11512.426349333,6341.72165635624,8402.43746353928
"HELLS",359.693172784251,320.784047467959,232.782379580822,1166.02049070263,972.942731575808,1184.34751707749
"COL18A1",252.600059851723,418.707598800284,424.550720854547,1394.83890261484,1434.78263580483,1646.88603950881
"ZNF354C",1405.01507945175,1403.85229194531,1317.99166343618,613.996071964427,646.575865920632,649.213262426017
"PRKCB",3610.90039474676,5362.15860399073,5521.37634615274,1063.05220534214,1400.47452863353,1416.65386018201
"IQCJ-SCHIP1",308.474727468694,462.604363190636,525.42308533957,29.5557115386603,61.5786538972031,62.2249133315671
"PIK3R1",8041.29591454242,10159.5684507287,9863.32196909598,3710.67191317632,3370.99145334403,4047.73061221844
"AQP1",69.8433345212138,21.9483821951762,44.3395008725375,488.145945412712,432.80996739177,371.275316211684
"TCF7L1",202.54567011152,171.366214831568,198.419266404606,662.619984495771,565.643920798594,807.886791421513
"CGNL1",26.773278233132,28.7017305629227,7.75941265269407,290.790065138432,204.968947972119,277.937946214333
"FOXN4",155.983447097378,69.2218207694018,87.5705142232616,737.939378416873,564.76422574292,693.807783646974
"COL4A2",1865.98108729176,1506.84085455344,1451.01016605379,4910.06175561614,3826.67349218333,4930.28729963784
"SPTLC3",15.1327224795963,28.7017305629227,33.2546256544032,223.097951614403,193.532912248353,185.637658105842
"FOXJ1",43.0700562880819,21.9483821951762,9.97638769632095,286.023014890261,321.08869532113,544.467991651212
"CELSR1",3300.09755612735,2963.87576489475,2695.84165305028,8899.12940328565,6925.839173324,7164.1616882411
"SLC17A8",13.9686669042428,10.9741910975881,26.6037005235225,168.753578785254,195.292302359701,306.976239102398
"FGF12",2642.40615605259,3228.9446883288,3232.34961360799,556.791468986374,650.09464614333,1009.08067786025
"DMRTA1",19.7889447810106,15.1950338274297,13.3018502617613,224.051361664038,124.916697905755,181.489330550404
"DMKN",6.98433345212139,0,7.75941265269407,130.617176799886,141.630903963567,178.378084883826
"CLDN5",29.1013893838391,20.2600451032395,35.47160069803,240.259332507819,189.134436969981,179.415166772685
