"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHL1",7488.16692288085,-11.4682089865179,1.01800995112162,-11.2653211040644,1.94641112766195e-29,3.24408342647417e-25
"NTS",432.652100786786,-5.33730930459866,0.876633967690959,-6.08841261154534,1.14035669281676e-09,9.5031624995885e-06
"PTER",455.48363427144,-5.32413770357976,0.933338536507088,-5.70440145277268,1.16752616678384e-08,6.48638620726209e-05
"CBLN2",522.364374867702,-4.50808557764977,0.820146711500293,-5.49668189171074,3.87003895920652e-08,0.000161254848332738
"CNTN4",466.131207401072,-11.9054348534458,2.20536679477846,-5.39839217749794,6.72407586503946e-08,0.000186783620737688
"NF1P8",98.4361933964214,8.20915127862121,1.51781919776413,5.40851722702805,6.35486756684727e-08,0.000186783620737688
"ZNF681",404.877289946137,-4.70870876220917,0.922553356599636,-5.10399613044021,3.32555075555183e-07,0.000791813634896891
"COL3A1",2951.56171454209,-6.69206322040187,1.32895899948494,-5.03556785649181,4.76434312450951e-07,0.0009925913357025
"NEK2P4",99.0136989722551,6.41881010028199,1.30341212668283,4.92462051631956,8.45242233170896e-07,0.00156529470002881
"C1QL3",250.488021272245,-5.74627340277089,1.18437837496333,-4.85172097383896,1.22394738446629e-06,0.00203995310568996
"COL6A3",316.851045942423,-11.3481046277656,2.42988459522141,-4.67022370119251,3.00871912788723e-06,0.00455875651859059
"GABRA1",545.125739393971,-3.83147970456482,0.83638852421848,-4.58098072082583,4.62800510527097e-06,0.00642791342412928
"NELL1",792.32173412551,-3.71475483886945,0.81569493262777,-4.55409821770294,5.26107727306867e-06,0.00674510576232581
"LCN9",397.386023909859,-8.22987254905761,1.852323128491,-4.44300048003078,8.87129678303592e-06,0.0105612788202043
"COL1A2",1505.33684606223,-6.05560398218021,1.37907918703453,-4.39104878031095,1.12805227383058e-05,0.0125341648319562
"CREG2",840.210438981069,-3.23823832107232,0.761428560383,-4.25284588674147,2.11070841666506e-05,0.0206936336356216
"NRGN",587.146196645187,-3.33343531597771,0.781623919819412,-4.26475601814729,2.00120759645061e-05,0.0206936336356216
"APOB",727.047680853979,-24.8123069407879,5.94823504299072,-4.17137298063334,3.02769811957274e-05,0.0280348025327327
"APOC3",597.802501363406,-24.5966417302503,5.94825225678147,-4.1351040050812,3.54793915823764e-05,0.0311228957633404
"GRIN2A",594.820100152128,-3.693746837951,0.901639743462007,-4.0966992246462,4.19082834650565e-05,0.0349242680256049
"APOA2",448.351876022554,-24.2084973095739,5.94828455232776,-4.06982838440376,4.70477815881922e-05,0.0373402559871619
"GABRG1",395.364815677042,-3.26949908241658,0.817027477600508,-4.00170027575894,6.28889313839356e-05,0.0441846646539052
"S100A14",179.06205460419,-23.9051525148032,5.94847883074637,-4.01870010720098,5.85200973447139e-05,0.0441846646539052
"THNSL2",135.869144892386,-6.67655276626782,1.66957727319321,-3.99894804119988,6.36246446087313e-05,0.0441846646539052
"CBLN4",106.153516359987,-9.77010276656098,2.46908285931982,-3.95697646584952,7.59044056137058e-05,0.0466552659357802
"GALC",702.738018324124,-3.37203564347987,0.851922753425918,-3.95814717933002,7.55334117108294e-05,0.0466552659357802
"MAPK8IP1P2",482.04584424055,-3.31076144444593,0.834637184317327,-3.96670733901449,7.28723830499806e-05,0.0466552659357802
"SI",264.412644833814,-23.4919294232927,5.94837441690744,-3.94930241050733,7.8379279186527e-05,0.0466552659357802
"CHCHD2",468.989485154357,-5.75759643453789,1.47867488899078,-3.89375411552943,9.87047008371009e-05,0.049955862656251
"GALNT9",386.52876105149,-3.39752502928913,0.878954454385899,-3.8654164756044,0.000110899797100935,0.049955862656251
"GSTA1",187.074558993094,-23.0209060127725,5.9484649738726,-3.87005826106182,0.000108809347062238,0.049955862656251
"LINC01291",46.6109432578808,7.08588006086148,1.82750703298542,3.87734762874536,0.000105601421500402,0.049955862656251
"PCDHGA3",231.429249135238,-6.44450873113817,1.65305779879247,-3.89853805223614,9.67751947032722e-05,0.049955862656251
"RBP2",404.33251597992,-6.44166143882549,1.66069207408219,-3.87890177797445,0.000104929108983556,0.049955862656251
"SPHKAP",773.677405064647,-3.44240409814809,0.880658221731455,-3.90889906345279,9.27176900555619e-05,0.049955862656251
"SV2B",815.046827468418,-3.36779280238076,0.860672966888342,-3.91297616161526,9.11655373283407e-05,0.049955862656251
"ZNF454",162.600293454135,-4.32309894362781,1.11396980737338,-3.8808044123038,0.000104111543730275,0.049955862656251
"FAR2P4",404.155852517888,5.04917216963853,1.31333724189579,3.84453589570803,0.000120780805309085,0.0529750968970138
"IGFBP3",472.242279732784,-3.3462897775031,0.875693962023459,-3.82130050294153,0.000132749776785881,0.055313513242257
"TSPAN8",124.09058023933,-9.99549059933385,2.61275201405838,-3.82565606898448,0.000130424274233643,0.055313513242257
"CLEC2A",146.663667292537,-22.6918575575158,5.94855027397111,-3.81468702665385,0.000136355635359622,0.0554302286472881
"IGSF21",1241.08281255715,-2.7616157944883,0.729026880184253,-3.78808500694835,0.000151812910912607,0.059091361859162
"PTPRE",341.638228928859,-3.15417361497525,0.832886304167123,-3.78703983868409,0.000152452664543347,0.059091361859162
"FGG",126.458221442259,-22.487990228572,5.94861336917641,-3.78037516189853,0.000156592221661419,0.0593164217825198
"MAGEH1",2278.00831234042,-2.65869937966684,0.704788939204911,-3.77233414398668,0.000161727469467808,0.0599002607471102
"CDH17",257.321904584966,-6.27401063455561,1.66925957615097,-3.75855901873717,0.000170894730809735,0.0606021803916139
"MEP1A",117.052238029198,-22.3839677669266,5.94865017226255,-3.76286503975287,0.000167977861531037,0.0606021803916139
"PPP1R1A",468.908527183609,-3.47692497524934,0.92893189134836,-3.7429277728882,0.000181888523385497,0.0631570004013767
"PCDHB8",252.201786091964,-3.29533947047814,0.883617765196045,-3.72937213382872,0.00019195748447724,0.0652929672200439
"HPN",110.956563009847,-9.83407530412186,2.66156767815293,-3.69484322523277,0.000220022501521499,0.0705214429395928
"ITGA8",72.7874983293006,-5.77018735967327,1.56072602930978,-3.69711740005073,0.000218061513011266,0.0705214429395928
"ZNF835",158.860407815873,-4.41734974800765,1.1954698907483,-3.69507403088389,0.000219822728797145,0.0705214429395928
"TXNRD2",61.0436115095809,-8.97190303144287,2.43644534166895,-3.68237402169555,0.000231072062408862,0.0726656238522359
"AGR2",103.606120299685,-9.73515116374219,2.64937433591168,-3.67450949901053,0.000238306778900808,0.0735529459988847
"GABRA4",442.209000228729,-4.02118444326523,1.10158940803084,-3.65034777381653,0.000261885481395546,0.0765762336564834
"LRRC37A4P",312.591278286627,3.44908461498325,0.942752808706316,3.65852488916604,0.000253671109103687,0.0765762336564834
"PTPRT",1165.41067667138,-2.93163764802711,0.802846437816078,-3.65155465595864,0.00026065760940765,0.0765762336564834
"CHL1-AS2",55.6131810143159,-8.83798232852305,2.42490765612762,-3.64466758401703,0.000267737630612798,0.0769376394728191
"GABRB1",254.789348044107,-3.43899021229658,0.945898574165407,-3.63568600928583,0.000277241858827025,0.0783184756113563
"MAP7D2",382.933141072904,-2.98203381996602,0.821774675324303,-3.62877308039359,0.000284771413370939,0.0791047524442241
"SLC24A3",568.964578099125,-3.06657783924076,0.855488581777261,-3.58459236576835,0.000337605074478733,0.0922436684645418
"GABRA5",929.307518358578,-3.26615500715147,0.912505070355087,-3.57932806431475,0.000344478802114451,0.0926036805619606
"RPRM",2363.98605623546,-3.74092048874504,1.04770602281307,-3.57058221227053,0.000356188634762787,0.094231682152244
"UNC5D",925.250324985593,-3.08380466676532,0.865022382116509,-3.56499985494012,0.000363856389765085,0.0947561632533542
"CNTN6",73.0898845242478,-9.23157566057232,2.60716858354378,-3.54084339572103,0.000398850237875161,0.0987259783295515
"LAMC3",116.530644875525,-6.45386635425667,1.82402963384921,-3.53824643771671,0.000402793935705856,0.0987259783295515
"PIGR",95.3492796547528,-9.61534240878519,2.7172679825238,-3.53860659700353,0.000402244836418633,0.0987259783295515
"TAFA2",1457.16201559845,-3.02083791527521,0.852727728997433,-3.54255855949103,0.000396265430464135,0.0987259783295515
"TNFAIP8L3",53.3906168354223,-8.77993614699953,2.49061432651405,-3.52520904321956,0.000423148730308294,0.102211882435483
"COL1A1",1395.55722297615,-4.41119639351503,1.25494653001514,-3.51504728529095,0.000439675694534022,0.104686782868551
"LUM",123.240757802919,-4.70812601783119,1.3437935156795,-3.50360822767513,0.000459000095065435,0.107748656119093
"NPNT",414.435340134666,-2.85684491354251,0.818334536627799,-3.49104771419647,0.000481130320235651,0.109981803422906
"RBP4",86.3643702787992,-6.0186055996487,1.72417033934351,-3.49072563325751,0.000481710664779031,0.109981803422906
"ANOS1",1212.77905995667,-2.52209261889686,0.72461488418804,-3.48059731304439,0.000500297045849841,0.111179344842391
